Team,Region,RPI,BPI,adjO,adjD,Luck
Kansas,South,1,5,7,4,53
Austin Peay,South,188,227,166,98,46
Colorado,South,35,45,115,26,105
Connecticut,South,37,28,61,13,276
Maryland,South,15,20,26,37,163
South Dakota St.,South,31,80,79,108,133
California,South,16,21,47,15,297
Hawaii,South,86,68,105,41,151
Arizona,South,26,13,17,40,263
Wichita State,South,49,25,81,1,331
Miami (Fla),South,8,15,12,44,54
Buffalo,South,91,125,148,148,51
Iowa,South,28,22,25,31,342
Temple,South,63,76,150,52,10
Villanova,South,4,3,4,7,148
UNC Asheville,South,139,110,190,60,286
Oregon,West,2,17,11,35,79
Southern,West,186,222,242,202,53
Saint Joseph's,West,23,44,31,74,93
Cincinnati,West,44,27,97,8,302
Baylor,West,25,32,13,72,171
Yale,West,43,55,92,21,99
Duke,West,19,11,6,111,272
UNCW,West,47,79,74,105,79
Texas,West,27,37,44,32,85
Northern Iowa,West,73,97,135,45,128
Texas A&M,West,18,16,36,12,172
Green Bay,West,120,124,96,168,69
Oregon State,West,29,61,77,62,56
VCU,West,33,25,82,22,321
Oklahoma,West,6,6,13,13,131
CSU Bakersfield,West,124,112,198,25,175
Virginia,Midwest,3,2,8,5,264
Hampton,Midwest,160,243,244,191,2
Texas Tech,Midwest,34,46,28,93,89
Butler,Midwest,54,35,19,131,184
Purdue,Midwest,14,10,21,18,255
Arkansas LR,Midwest,45,62,85,35,96
Iowa State,Midwest,21,18,3,100,326
Iona,Midwest,88,104,60,119,179
Seton Hall,Midwest,22,29,26,17,157
Gonzaga,Midwest,46,23,23,23,243
Utah,Midwest,9,30,27,51,13
Fresno State,Midwest,69,106,124,101,22
Dayton,Midwest,20,40,160,14,32
Syracuse,Midwest,68,39,52,16,255
Michigan State,Midwest,11,4,2,19,183
Middle Tennessee,Midwest,76,135,197,71,45
North Carolina,East,5,1,1,21,285
FGCU,East,217,189,182,259,271
USC,East,48,43,37,89,206
Providence,East,38,47,93,27,75
Indiana,East,24,19,10,57,172
Chattanooga,East,53,92,149,77,8
Kentucky,East,12,12,1,70,268
Stony Brook,East,64,98,131,61,97
Notre Dame,East,32,33,9,172,61
Michigan ,East,58,57,35,116,131
West Virginia,East,10,7,23,6,156
Stephen F. Austin,East,70,71,65,29,108
Wisconsin,East,40,36,87,11,210
Pittsburgh,East,49,42,33,86,170
Xavier,East,7,14,18,36,35
Weber state,East,108,130,184,92,181
